country,gross_primary_enrlmt_country
Aruba,104.667572
Africa Eastern and Southern,103.0904236
Afghanistan,NA
Africa Western and Central,90.39772797
Angola,86.70679616
Albania,96.37123108
Andorra,90.1473465
Arab World,90.35279846
United Arab Emirates,NA
Argentina,108.7224121
Armenia,92.9023819
American Samoa,NA
Antigua and Barbuda,NA
Australia,99.13298798
Austria,100.7756271
Azerbaijan,99.8082962
Burundi,NA
Belgium,102.1769867
Benin,113.048912
Burkina Faso,82.35679626
Bangladesh,117.6594575
Bulgaria,95.88851929
Bahrain,92.3441925
"Bahamas, The",NA
Bosnia and Herzegovina,87.82221985
Belarus,94.71196747
Belize,99.9364624
Bermuda,85.42458809
Bolivia,99.59864807
Brazil,103.9703217
Barbados,95.57930756
Brunei Darussalam,94.56248185
Bhutan,106.0821274
Botswana,96.92569455
Central African Republic,NA
Canada,96.01157379
Central Europe and the Baltics,97.04653931
Switzerland,101.3630676
Channel Islands,NA
Chile,100.1922684
China,100.17173
Cote d'Ivoire,94.64894104
Cameroon,110.7155075
"Congo, Dem. Rep.",NA
"Congo, Rep.",NA
Colombia,104.8304672
Comoros,NA
Cabo Verde,NA
Costa Rica,107.6112976
Caribbean small states,94.7589035
Cuba,99.87296295
Curacao,NA
Cayman Islands,87.68242645
Cyprus,97.00164032
Czechia,100.9753494
Germany,100.218132
Djibouti,NA
Dominica,91.87654114
Denmark,100.2444534
Dominican Republic,100.4922867
Algeria,108.3439331
East Asia & Pacific (excluding high income),102.2617493
Early-demographic dividend,104.2344131
East Asia & Pacific,102.1521606
Europe & Central Asia (excluding high income),98.64559937
Europe & Central Asia,100.6205215
Ecuador,99.5941925
"Egypt, Arab Rep.",91.59017944
Euro area,101.9509277
Eritrea,82.97084808
Spain,102.4459915
Estonia,99.26381683
Ethiopia,85.53126688
European Union,101.4667206
Fragile and conflict affected situations,96.30005646
Finland,98.61901855
Fiji,108.0451177
France,102.7205811
Faroe Islands,NA
"Micronesia, Fed. Sts.",91.52787835
Gabon,NA
United Kingdom,102.4061279
Georgia,104.5481186
Ghana,96.53315735
Gibraltar,127.1653519
Guinea,NA
"Gambia, The",92.32038846
Guinea-Bissau,NA
Equatorial Guinea,NA
Greece,101.1920319
Grenada,NA
Greenland,NA
Guatemala,103.9062271
Guam,NA
Guyana,NA
High income,99.73475647
"Hong Kong SAR, China",101.0810394
Honduras,85.86624146
Heavily indebted poor countries (HIPC),102.444931
Croatia,100.527977
Haiti,NA
Hungary,103.4764786
IBRD only,104.1122665
IDA & IBRD total,101.9826889
IDA total,98.56091309
IDA blend,89.56472778
Indonesia,100.6449929
IDA only,102.9386368
Isle of Man,NA
India,111.0844556
Not classified,NA
Ireland,99.61994171
"Iran, Islamic Rep.",NA
Iraq,NA
Iceland,98.51164246
Israel,96.31256866
Italy,101.564537
Jamaica,90.74086761
Jordan,98.5412674
Japan,102.1587067
Kazakhstan,100.9112638
Kenya,NA
Kyrgyz Republic,94.19105296
Cambodia,109.9590791
Kiribati,98.48461151
St. Kitts and Nevis,NA
"Korea, Rep.",99.03336334
Kuwait,NA
Latin America & Caribbean (excluding high income),104.8691101
Lao PDR,97.22261344
Lebanon,NA
Liberia,67.23178842
Libya,NA
St. Lucia,103.6647797
Latin America & Caribbean,104.7654877
Least developed countries: UN classification,103.5987701
Low income,100.8630829
Liechtenstein,NA
Sri Lanka,95.91586286
Lower middle income,102.4104233
Low & middle income,101.9593887
Lesotho,88.61178003
Late-demographic dividend,101.8003693
Lithuania,101.9058304
Luxembourg,99.48426056
Latvia,99.41796875
"Macao SAR, China",84.96766663
St. Martin (French part),NA
Morocco,114.1699905
Monaco,NA
Moldova,106.9732454
Madagascar,138.1922656
Maldives,95.36725825
Middle East & North Africa,97.63038635
Mexico,102.0047836
Marshall Islands,105.104332
Middle income,102.1766968
North Macedonia,97.48665619
Mali,NA
Malta,93.53466034
Myanmar,NA
Middle East & North Africa (excluding high income),97.34970093
Montenegro,105.6213684
Mongolia,95.56345779
Northern Mariana Islands,NA
Mozambique,121.1775818
Mauritania,NA
Mauritius,NA
Malawi,126.426256
Malaysia,97.75549313
North America,96.88124847
Namibia,133.5274729
New Caledonia,NA
Niger,68.33141327
Nigeria,NA
Nicaragua,105.4355369
Netherlands,104.2154465
Norway,98.96675873
Nepal,118.8039516
Nauru,94.94241333
New Zealand,96.55725098
OECD members,100.4885025
Oman,90.09680939
Other small states,101.3233109
Pakistan,82.67900632
Panama,100.8753967
Peru,107.663269
Philippines,91.87155462
Palau,88.27118644
Papua New Guinea,NA
Poland,100.5942688
Pre-demographic dividend,97.63356781
Puerto Rico,NA
"Korea, Dem. People's Rep.",NA
Portugal,109.8461304
Paraguay,93.2309494
West Bank and Gaza,91.7645874
Pacific island small states,NA
Post-demographic dividend,99.4457016
French Polynesia,NA
Qatar,94.98493195
Romania,84.88127899
Russian Federation,101.1360703
Rwanda,148.7524872
South Asia,107.0414505
Saudi Arabia,102.7059479
Sudan,NA
Senegal,83.27870178
Singapore,99.57804108
Solomon Islands,NA
Sierra Leone,156.8019181
El Salvador,89.32914734
San Marino,93.9375
Somalia,NA
Serbia,98.89897919
Sub-Saharan Africa (excluding high income),97.9667511
South Sudan,NA
Sub-Saharan Africa,97.96674347
Small states,100.8046875
Sao Tome and Principe,NA
Suriname,NA
Slovak Republic,100.3267212
Slovenia,100.6391373
Sweden,116.4253922
Eswatini,NA
Sint Maarten (Dutch part),NA
Seychelles,97.76548004
Syrian Arab Republic,74.36743164
Turks and Caicos Islands,122.3381271
Chad,90.36412048
East Asia & Pacific (IDA & IBRD countries),102.3435669
Europe & Central Asia (IDA & IBRD countries),98.92674255
Togo,122.4782562
Thailand,105.1011071
Tajikistan,101.3452037
Turkmenistan,110.2847366
Latin America & the Caribbean (IDA & IBRD countries),104.8938675
Timor-Leste,120.849599
Middle East & North Africa (IDA & IBRD countries),97.40911865
Tonga,106.5357373
South Asia (IDA & IBRD),107.0414505
Sub-Saharan Africa (IDA & IBRD countries),97.96674347
Trinidad and Tobago,NA
Tunisia,103.9126434
Turkiye,102.4877014
Tuvalu,98.44081879
Tanzania,88.25587845
Uganda,NA
Ukraine,92.77116345
Upper middle income,101.8989792
Uruguay,108.8227615
United States,96.97173309
Uzbekistan,93.90997803
St. Vincent and the Grenadines,110.5870859
"Venezuela, RB",NA
British Virgin Islands,101.1814728
Virgin Islands (U.S.),NA
Viet Nam,123.1337238
Vanuatu,110.5207455
World,101.7462082
Samoa,104.1225873
Kosovo,NA
"Yemen, Rep.",NA
South Africa,96.10272217
Zambia,NA
Zimbabwe,95.78990704
