country,gdp_change_country
Aruba,349896966
Africa Eastern and Southern,105670000000
Afghanistan,237248431
Africa Western and Central,34662000000
Angola,37894870012
Albania,985232022
Andorra,55965044
Arab World,640570000000
United Arab Emirates,87553000000
Argentina,146226000000
Armenia,5634597924
American Samoa,121000000
Antigua and Barbuda,266366666
Australia,134120000000
Austria,-8693000000
Azerbaijan,23982058823
Burundi,562924131
Belgium,-5055000000
Benin,-288337211
Burkina Faso,-877297593
Bangladesh,43860000000
Bulgaria,6224900575
Bahrain,5840186170
"Bahamas, The",1767500000
Bosnia and Herzegovina,861951394
Belarus,4101432793
Belize,426150000
Bermuda,541373000
Bolivia,3602171183
Brazil,281270000000
Barbados,982061450
Brunei Darussalam,2675039829
Bhutan,129424783
Botswana,1571012250
Central African Republic,-133879797
Canada,154010000000
Central Europe and the Baltics,29130000000
Switzerland,5018000000
Channel Islands,151297373
Chile,-13398000000
China,61300000000
Cote d'Ivoire,-2621496553
Cameroon,-664731274
"Congo, Dem. Rep.",10473064836
"Congo, Rep.",991339944
Colombia,26805000000
Comoros,-53570072
Cabo Verde,195160738
Costa Rica,4282900295
Caribbean small states,11649044205
Cuba,NA
Curacao,335572679
Cayman Islands,540817443
Cyprus,603302567
Czechia,10858000000
Germany,-184700000000
Djibouti,288473250
Dominica,51892592.599999905
Denmark,-6432000000
Dominican Republic,19293574062
Algeria,39407000000
East Asia & Pacific (excluding high income),275000000000
Early-demographic dividend,1336300000000
East Asia & Pacific,-482300000000
Europe & Central Asia (excluding high income),147640000000
Europe & Central Asia,138600000000
Ecuador,9151000000
"Egypt, Arab Rep.",52076000000
Euro area,-465700000000
Eritrea,NA
Spain,-14740000000
Estonia,1171483124
Ethiopia,15511000000
European Union,-501300000000
Fragile and conflict affected situations,178510000000
Finland,-13981000000
Fiji,664471930
France,-170130000000
Faroe Islands,-97988399
"Micronesia, Fed. Sts.",40000000
Gabon,995720598
United Kingdom,-29280000000
Georgia,6131453371
Ghana,-5261057819
Gibraltar,NA
Guinea,2841336804
"Gambia, The",190575686
Guinea-Bissau,-57187925
Equatorial Guinea,1471765403
Greece,577000000
Grenada,101777778
Greenland,NA
Guatemala,9151689177
Guam,676000000
Guyana,6677023124
High income,2223400000000
"Hong Kong SAR, China",-10273000000
Honduras,3281710300
Heavily indebted poor countries (HIPC),77805000000
Croatia,2191832803
Haiti,-623863032
Hungary,-5104000000
IBRD only,1948000000000
IDA & IBRD total,2165500000000
IDA total,216900000000
IDA blend,94090000000
Indonesia,132570000000
IDA only,122810000000
Isle of Man,NA
India,186200000000
Not classified,NA
Ireland,17263000000
"Iran, Islamic Rep.",10927000000
Iraq,76948000000
Iceland,2944919443
Israel,35292000000
Italy,-76210000000
Jamaica,2440174597
Jordan,2468863239
Japan,-778210000000
Kazakhstan,28384000000
Kenya,4745000000
Kyrgyz Republic,2885797072
Cambodia,3204369273
Kiribati,-18497593.800000012
St. Kitts and Nevis,122807407.39999998
"Korea, Rep.",-144510000000
Kuwait,35481000000
Latin America & Caribbean (excluding high income),699610000000
Lao PDR,-3358363327
Lebanon,-2139519608
Liberia,487997500
Libya,8028302275
St. Lucia,475518519
Latin America & Caribbean,763820000000
Least developed countries: UN classification,156140000000
Low income,72377000000
Liechtenstein,-348875654
Sri Lanka,-14464454879
Lower middle income,459540000000
Low & middle income,1687100000000
Lesotho,-57446968
Late-demographic dividend,1169000000000
Lithuania,3996563491
Luxembourg,-3942298128
Latvia,-166219951
"Macao SAR, China",-5970221229
St. Martin (French part),NA
Morocco,-11070000000
Monaco,177187743
Moldova,818621396
Madagascar,579946086
Maldives,924660744
Middle East & North Africa,667840000000
Mexico,147740000000
Marshall Islands,-5500000
Middle income,1616600000000
North Macedonia,-67847277
Mali,-529141304
Malta,-508585630
Myanmar,-4092241268
Middle East & North Africa (excluding high income),189170000000
Montenegro,368374076
Mongolia,1860029976
Northern Mariana Islands,182000000
Mozambique,2715473106
Mauritania,335430334
Mauritius,1443630428
Malawi,50930400
Malaysia,33821000000
North America,2480300000000
Namibia,164784821
New Caledonia,-448030946
Niger,518850276
Nigeria,36569000000
Nicaragua,1505836264
Netherlands,-7930000000
Norway,90359000000
Nepal,4258098207
Nauru,-18710897.199999988
New Zealand,-6910000000
OECD members,1521700000000
Oman,24620202861
Other small states,16128000000
Pakistan,26373000000
Panama,8879724200
Peru,20135000000
Philippines,10266000000
Palau,19838156.199999988
Papua New Guinea,5537864245
Poland,6437000000
Pre-demographic dividend,208170000000
Puerto Rico,7140000000
"Korea, Dem. People's Rep.",NA
Portugal,843000000
Paraguay,2002010919
West Bank and Gaza,1056500000
Pacific island small states,787075124
Post-demographic dividend,1237900000000
French Polynesia,-335979437
Qatar,55977000000
Romania,9776000000
Russian Federation,422640000000
Rwanda,2246880245
South Asia,247520000000
Saudi Arabia,234414000000
Sudan,17437361588
Senegal,98694930
Singapore,64363000000
Solomon Islands,43565773
Sierra Leone,-46077046
El Salvador,2945780000
San Marino,-23695423
Somalia,718769866
Serbia,637680685
Sub-Saharan Africa (excluding high income),139770000000
South Sudan,NA
Sub-Saharan Africa,140340000000
Small states,28564000000
Sao Tome and Principe,16407043.700000048
Suriname,683680002
Slovak Republic,-4663000000
Slovenia,-1601577715
Sweden,-57291000000
Eswatini,-42298791
Sint Maarten (Dutch part),184017654
Seychelles,570794725
Syrian Arab Republic,9269621402
Turks and Caicos Islands,183011929
Chad,616826255
East Asia & Pacific (IDA & IBRD countries),274700000000
Europe & Central Asia (IDA & IBRD countries),594900000000
Togo,-172767497
Thailand,-10611000000
Tajikistan,1775719853
Turkmenistan,8964571429
Latin America & the Caribbean (IDA & IBRD countries),735620000000
Timor-Leste,-416295700
Middle East & North Africa (IDA & IBRD countries),188120000000
Tonga,-47969.90000003576
South Asia (IDA & IBRD),247520000000
Sub-Saharan Africa (IDA & IBRD countries),140340000000
Trinidad and Tobago,5557048887
Tunisia,-2232529120
Turkiye,87253000000
Tuvalu,-1130423.6199999973
Tanzania,5114346357
Uganda,5035544462
Ukraine,-37776000000
Upper middle income,1156500000000
Uruguay,9403884694
United States,2325700000000
Uzbekistan,12755866564
St. Vincent and the Grenadines,94266666.70000005
"Venezuela, RB",NA
British Virgin Islands,NA
Virgin Islands (U.S.),165000000
Viet Nam,43849000000
Vanuatu,71825291.5
World,3922700000000
Samoa,-10978433.100000024
Kosovo,-58500662
"Yemen, Rep.",NA
South Africa,-13967000000
Zambia,7067365208
Zimbabwe,5549236627
